Estado,Tipo
0,invalido
1,T_ENTERO
2,T_MAS
3,T_MENOS
4,invalido
5,T_MULT
6,T_DIV
7,T_MODULO
8,T_EXP
9,T_MENOR
10,T_MAYOR
11,T_IGUAL
12,T_IZQ_PAREN
13,T_DER_PAREN
14,T_IZQ_CORCH
15,T_DER_CORCH
16,T_IZQ_LLAVE
17,T_DER_LLAVE
18,T_COMA
19,T_NOT
20,T_PUNTO_COMA
21,T_IDENTIFICADOR
22,T_IDENTIFICADOR
23,T_IDENTIFICADOR
24,T_IDENTIFICADOR
25,T_IDENTIFICADOR
26,T_IDENTIFICADOR
27,T_O
28,T_IDENTIFICADOR
29,T_IDENTIFICADOR
30,T_IDENTIFICADOR
31,T_Y
32,T_IDENTIFICADOR
33,invalido
34,T_CADENA
35,invalido
36,invalido
37,T_MENOR_IGUAL
38,T_MAYOR_IGUAL
39,T_IGUAL_IGUAL
40,T_NOT_IGUAL
41,T_IDENTIFICADOR
42,T_IDENTIFICADOR
43,T_IDENTIFICADOR
44,T_IDENTIFICADOR
45,T_IDENTIFICADOR
46,T_IDENTIFICADOR
47,T_IDENTIFICADOR
48,T_IDENTIFICADOR
49,T_SI
50,T_IDENTIFICADOR
51,T_IDENTIFICADOR
52,T_FLOTANTE
53,invalido
54,T_IDENTIFICADOR
55,T_IDENTIFICADOR
56,T_IDENTIFICADOR
57,T_IDENTIFICADOR
58,T_IDENTIFICADOR
59,T_IDENTIFICADOR
60,T_IDENTIFICADOR
61,T_IDENTIFICADOR
62,T_IDENTIFICADOR
63,T_VAR
64,T_IDENTIFICADOR
65,T_IDENTIFICADOR
66,T_IDENTIFICADOR
67,T_IDENTIFICADOR
68,T_NULO
69,T_PARA
70,T_IDENTIFICADOR
71,T_IDENTIFICADOR
72,T_SINO
73,T_IDENTIFICADOR
74,T_IDENTIFICADOR
75,T_FALSO
76,T_IDENTIFICADOR
77,T_IDENTIFICADOR
78,T_IDENTIFICADOR
79,T_IDENTIFICADOR
80,T_IDENTIFICADOR
81,T_IDENTIFICADOR
82,T_IDENTIFICADOR
83,T_ROMPER
84,T_IDENTIFICADOR
85,T_IDENTIFICADOR
86,T_IDENTIFICADOR
87,T_IDENTIFICADOR
88,T_IDENTIFICADOR
89,T_IDENTIFICADOR
90,T_IMPRIMIR
91,T_REGRESAR
92,T_IDENTIFICADOR
93,T_CONTINUAR
94,T_VERDADERO
95,T_IDENTIFICADOR